ID        First Name          Last Name           Team                Track               
2         Lando               Norris              McLaren             Hunagry             
3         Oscar               Pisatri             McLaren             Hunagry             
4         Max                 Verstappen          RedBull Racing      Hunagry             
5         Carlos              Sainz               Ferrari             Hunagry             
6         Lewis               Hamilton            Mercedes            Hunagry             
7         Charles             Leclerc             Ferrari             Hunagry             
8         Alonso              Fernando            Aston Martin        Hunagry             
9         Lance               Stroll              Aston Martin        Hunagry             
10        Daniel              Ricciardo           RB                  Hunagry             
11        Yuki                Tsunoda             RB                  Hunagry             
12        Nico                Hulkenberg          Haas                Hunagry             
13        Valtteri            Bottas              Kick Sauber         Hunagry             
14        Alexander           Albon               Williams            Hunagry             
15        Logan               Sargeant            Williams            Hunagry             
