ID        Position            Q1                  Q2                  Q3             Average Lap Time    Tyre Compound       Eliminated          
2         1                   1:17.755            1:15.540            1:15.227            1:16.174            Soft                No                  
3         2                   1:17.504            1:15.785            1:15.249            1:16.179            Soft                No                  
4         3                   1:17.087            1:15.770            1:15.273            1:16.043            Soft                No                  
5         4                   1:17.244            1:15.885            1:15.696            1:16.275            Soft                No                  
6         6                   1:17.087            1:16.307            1:15.854            1:16.416            Soft                No                  
7         7                   1:17.437            1:15.891            1:15.905            1:16.411            Soft                No                  
8         8                   1:17.624            1:16.117            1:16.043            1:16.595            Soft                No                  
9         9                   1:17.405            1:16.075            1:16.244            1:16.575            Soft                No                  
10        10                  1:17.050            1:16.202            1:16.447            1:16.566            Soft                No                  
11        11                  1:17.436            1:16.121            1:16.477            1:16.678            Soft                Yes                  
12        12                  1:17.362            1:16.317            0:00.000            0:51.226            Soft                Yes                 
13        13                  1:17.487            1:16.384            0:00.000            0:51.290            Soft                Yes                 
14        14                  1:17.280            1:16.429            0:00.000            0:51.236            Soft                Yes                 
15        15                  1:17.770            1:16.543            0:00.000            0:51.438            Soft                Yes                 
